CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F89716,TT0130835,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89716,TT0130835,Unit,People,The unit is for a particular count (e.g. people or households),
F89716,TT0130835,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89717,TT0130836,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89717,TT0130836,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89717,TT0130836,Unit,People,The unit is for a particular count (e.g. people or households),
F89718,TT0130837,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89718,TT0130837,Unit,People,The unit is for a particular count (e.g. people or households),
F89718,TT0130837,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89723,TT0130842,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89723,TT0130842,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
