CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F81418,F81430,F81434,F81438,F81442,F81446,F81450,F81978,F81990,F81994,F81998,F82002,F82006,F82010,F82282,F82294,F82298,F82302,F82306,F82310,F82314,
,,,,,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons,Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons,
372,E09000005,Brent,Local Authorities,LA,9856,21403,10055,16376,5686,10039,10449,8776,13166,9409,7842,4260,11898,8019,2205,6922,5013,2428,2384,6415,4408,
1099,E05000085,Alperton,Wards and Electoral Divisions,WED,112,298,228,441,174,322,382,397,819,680,525,496,1372,1069,68,206,165,63,80,194,144,
1100,E05000086,Barnhill,Wards and Electoral Divisions,WED,357,722,482,867,213,441,424,716,831,538,502,176,541,237,131,358,242,116,109,314,199,
1101,E05000087,Brondesbury Park,Wards and Electoral Divisions,WED,1053,1910,592,852,311,519,428,240,333,146,215,72,168,139,108,216,135,86,53,141,116,
1102,E05000088,Dollis Hill,Wards and Electoral Divisions,WED,278,694,441,770,266,525,549,196,389,304,409,167,418,327,100,239,216,107,77,249,165,
1103,E05000089,Dudden Hill,Wards and Electoral Divisions,WED,482,1228,572,1026,372,581,678,252,411,298,323,144,355,300,134,330,228,123,122,288,205,
1104,E05000090,Fryent,Wards and Electoral Divisions,WED,281,690,515,1007,240,506,387,442,664,488,498,224,534,335,74,208,132,68,46,147,85,
1105,E05000091,Harlesden,Wards and Electoral Divisions,WED,240,726,369,805,312,548,802,77,202,179,172,108,300,239,136,650,567,247,290,840,602,
1106,E05000092,Kensal Green,Wards and Electoral Divisions,WED,655,1563,516,944,326,570,686,129,275,172,160,107,258,258,144,484,341,137,159,461,302,
