CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F89716,F89717,F89718,F89719,F89720,F89721,F89722,F89723,F89724,F89725,F89726,F89727,F89728,F89729,F89730,F89767,F89768,F89769,F89770,F89771,F89772,F89773,F89774,F89775,F89776,F89777,F89778,F89779,F89780,F89781,F89784,F89785,F89786,F89787,F89788,F89789,F89790,F89791,F89792,F89793,F89794,F89795,F89796,F89797,F89798,F89801,F89802,F89803,F89804,F89805,F89806,F89807,F89808,F89809,F89810,F89811,F89812,F89813,F89814,F89815,F89818,F89819,F89820,F89821,F89822,F89823,F89824,F89825,F89826,F89827,F89828,F89829,F89830,F89831,F89832,F89835,F89836,F89837,F89838,F89839,F89840,F89841,F89842,F89843,F89844,F89845,F89846,F89847,F89848,F89849,F89852,F89853,F89854,F89855,F89856,F89857,F89858,F89859,F89860,F89861,F89862,F89863,F89864,F89865,F89866,
,,,,,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class1 (Higher managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class 2 (Lower managerial and professional occupations) - Unit : People,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class 3 (Intermediate occupations) - Unit : People,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class 4 (Small employers and own account workers) - Unit : People,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class 5 (Lower supervisory and technical occupations) - Unit : People,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class 6 (Semi-routine occupations) - Unit : People,Ethnic group (England and Wales) : White \ British - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : White \ Irish - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : White \ Other White - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black Caribbean - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Black African - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ White and Asian - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Mixed \ Other Mixed - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Indian - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Pakistani - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Bangladeshi - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Asian or Asian British \ Other Asian - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Caribbean - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ African - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Black or Black British \ Other Black - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,Ethnic group (England and Wales) : Chinese or Other Ethnic Group \ Chinese - Socio-economic Classification (NS-SeC) : Class 7 (Routine occupations) - Unit : People,
20045,00AJGC,00AJGC : Acton Central,Standard Table (ST) wards,SWARD,811,57,202,8,3,12,9,72,26,7,24,35,32,3,31,1524,162,405,5,11,29,23,99,31,5,39,106,55,8,24,460,48,221,9,4,9,11,74,14,3,17,62,29,8,11,305,64,103,6,4,3,5,46,15,3,12,16,15,0,10,218,41,82,6,3,0,4,30,9,3,10,27,12,5,6,276,48,131,12,5,6,10,49,24,4,20,59,41,12,5,200,50,100,9,4,3,5,26,15,0,17,43,13,5,3,
20046,00AJGD,00AJGD : Cleveland,Standard Table (ST) wards,SWARD,1134,100,214,6,7,13,10,105,12,3,27,26,27,0,24,1685,148,318,15,6,30,24,115,30,5,51,65,50,10,30,544,47,125,11,7,11,16,69,10,0,20,45,23,6,8,325,34,95,3,3,9,0,37,7,0,17,13,11,3,15,210,28,56,9,3,5,5,25,6,0,11,21,11,0,3,307,46,84,7,10,5,5,67,12,4,26,52,49,10,5,190,43,62,7,3,4,3,32,4,0,10,36,19,8,0,
20047,00AJGE,00AJGE : Dormers Wells,Standard Table (ST) wards,SWARD,107,17,19,0,3,3,0,276,30,3,33,23,20,0,8,324,57,47,4,3,12,11,492,59,4,66,100,53,9,12,204,12,33,7,0,11,0,397,58,5,46,77,32,4,4,103,25,21,3,3,3,0,175,45,3,19,21,9,3,4,115,19,17,5,0,0,3,321,45,3,43,31,11,0,3,190,29,34,7,3,6,3,597,90,5,99,72,58,5,3,159,25,33,6,0,3,0,383,46,7,57,50,24,3,5,
20048,00AJGF,00AJGF : Ealing Broadway,Standard Table (ST) wards,SWARD,1576,89,379,3,8,23,20,157,24,0,30,28,21,0,62,1977,166,447,8,5,31,14,121,17,0,38,35,32,3,42,508,47,199,0,7,5,5,43,8,0,12,29,12,4,14,327,40,100,0,0,6,6,43,9,3,11,14,3,0,13,145,13,51,0,3,3,0,21,3,0,8,9,5,0,3,198,21,67,6,3,3,6,37,12,0,13,10,15,4,10,130,18,65,0,4,4,3,15,4,0,4,19,7,3,4,
20049,00AJGG,00AJGG : Ealing Common,Standard Table (ST) wards,SWARD,1433,89,325,8,0,13,12,160,22,7,25,18,14,3,31,1863,131,438,11,3,36,9,137,28,0,28,41,33,13,35,557,61,180,8,0,14,10,31,16,3,8,28,8,13,10,310,41,100,0,3,5,3,30,13,0,10,6,5,0,10,200,20,52,0,3,3,3,15,0,3,11,15,14,0,4,276,31,89,8,6,5,6,33,11,3,5,29,14,4,11,213,30,68,5,4,3,4,13,4,0,6,12,15,3,3,
20050,00AJGH,00AJGH : East Acton,Standard Table (ST) wards,SWARD,475,44,200,7,3,11,8,109,21,3,32,35,34,9,27,1114,108,440,18,12,27,27,117,35,5,55,133,59,12,27,452,53,249,14,8,10,12,61,31,6,27,113,38,10,15,299,36,151,4,0,8,11,53,18,0,22,35,20,3,13,278,37,122,7,3,5,3,32,10,0,13,57,20,6,5,309,52,139,11,4,6,19,70,16,0,26,86,52,12,7,268,59,174,6,6,7,6,47,11,4,17,71,32,6,8,
20051,00AJGJ,00AJGJ : Elthorne,Standard Table (ST) wards,SWARD,980,92,122,4,3,7,4,83,23,0,10,41,20,8,19,1758,222,197,15,12,19,5,95,27,4,25,100,31,15,13,544,93,95,4,0,9,8,61,18,0,10,76,21,3,11,343,72,57,3,0,0,0,33,18,0,5,23,5,3,10,239,53,35,6,3,0,4,32,8,0,12,27,8,3,6,347,72,49,10,7,4,6,53,27,3,24,55,37,8,3,256,68,46,7,3,3,7,42,10,3,6,39,14,3,4,
20052,00AJGK,00AJGK : Greenford Broadway,Standard Table (ST) wards,SWARD,291,40,29,3,0,6,7,141,26,0,34,47,23,0,11,859,103,98,18,4,11,12,218,50,3,61,165,52,6,34,612,57,68,9,0,12,6,155,39,3,38,90,28,12,19,265,62,42,0,3,0,0,92,13,0,14,20,10,0,12,398,38,35,8,3,0,3,85,16,0,27,45,20,6,7,515,85,59,7,5,6,5,157,34,3,35,80,33,7,16,451,77,37,3,3,3,5,89,17,4,16,52,29,4,6,
20053,00AJGL,00AJGL : Greenford Green,Standard Table (ST) wards,SWARD,365,64,60,3,4,6,6,148,26,8,47,51,31,3,26,1037,130,146,5,6,7,16,243,26,3,69,155,53,11,43,602,75,72,10,0,19,8,192,28,0,55,77,16,3,27,323,55,66,0,0,3,5,76,18,6,25,21,5,3,12,326,49,39,3,4,4,5,66,14,3,30,44,6,4,7,409,59,45,6,3,10,5,145,21,0,62,79,28,8,25,346,53,71,4,0,3,5,92,12,0,23,38,5,4,9,
