Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013967,Beam Park,-8,Does not apply,-8,Does not apply,0
E05013967,Beam Park,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013967,Beam Park,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013967,Beam Park,-8,Does not apply,3,L7: Intermediate occupations,0
E05013967,Beam Park,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E05013967,Beam Park,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E05013967,Beam Park,-8,Does not apply,6,L12: Semi-routine occupations,0
E05013967,Beam Park,-8,Does not apply,7,L13: Routine occupations,0
E05013967,Beam Park,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05013967,Beam Park,-8,Does not apply,9,L15: Full-time students,0
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,104
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",23
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",37
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,L7: Intermediate occupations,28
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L8 and L9: Small employers and own account workers,19
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L10 and L11: Lower supervisory and technical occupations,5
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L12: Semi-routine occupations,17
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L13: Routine occupations,14
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L14.1 and L14.2: Never worked and long-term unemployed,38
E05013967,Beam Park,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L15: Full-time students,36
E05013967,Beam Park,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,2
