Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (8 categories) Code,Ethnic group (8 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05003362,Norbury,-8,Does not apply,-8,Does not apply,0
E05003362,Norbury,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05003362,Norbury,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05003362,Norbury,-8,Does not apply,3,L7: Intermediate occupations,0
E05003362,Norbury,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E05003362,Norbury,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E05003362,Norbury,-8,Does not apply,6,L12: Semi-routine occupations,0
E05003362,Norbury,-8,Does not apply,7,L13: Routine occupations,0
E05003362,Norbury,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05003362,Norbury,-8,Does not apply,9,L15: Full-time students,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,1
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05003362,Norbury,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,0
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,1
E05003362,Norbury,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,-8,Does not apply,5
E05003362,Norbury,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,1
E05003362,Norbury,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05003362,Norbury,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,1
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,268
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",265
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",312
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",3,L7: Intermediate occupations,138
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",4,L8 and L9: Small employers and own account workers,304
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",5,L10 and L11: Lower supervisory and technical occupations,61
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",6,L12: Semi-routine occupations,111
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",7,L13: Routine occupations,113
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",8,L14.1 and L14.2: Never worked and long-term unemployed,56
E05003362,Norbury,4,"White: English, Welsh, Scottish, Northern Irish or British",9,L15: Full-time students,61
E05003362,Norbury,5,White: Irish,-8,Does not apply,2
E05003362,Norbury,5,White: Irish,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1
E05003362,Norbury,5,White: Irish,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",5
E05003362,Norbury,5,White: Irish,3,L7: Intermediate occupations,1
E05003362,Norbury,5,White: Irish,4,L8 and L9: Small employers and own account workers,0
E05003362,Norbury,5,White: Irish,5,L10 and L11: Lower supervisory and technical occupations,0
E05003362,Norbury,5,White: Irish,6,L12: Semi-routine occupations,0
E05003362,Norbury,5,White: Irish,7,L13: Routine occupations,0
E05003362,Norbury,5,White: Irish,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05003362,Norbury,5,White: Irish,9,L15: Full-time students,1
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",-8,Does not apply,0
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",3,L7: Intermediate occupations,0
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",4,L8 and L9: Small employers and own account workers,7
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",5,L10 and L11: Lower supervisory and technical occupations,1
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",6,L12: Semi-routine occupations,3
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",7,L13: Routine occupations,1
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05003362,Norbury,6,"White: Gypsy or Irish Traveller, Roma or Other White",9,L15: Full-time students,0
E05003362,Norbury,7,Other ethnic group,-8,Does not apply,0
E05003362,Norbury,7,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05003362,Norbury,7,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05003362,Norbury,7,Other ethnic group,3,L7: Intermediate occupations,0
E05003362,Norbury,7,Other ethnic group,4,L8 and L9: Small employers and own account workers,0
E05003362,Norbury,7,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,0
E05003362,Norbury,7,Other ethnic group,6,L12: Semi-routine occupations,1
E05003362,Norbury,7,Other ethnic group,7,L13: Routine occupations,0
E05003362,Norbury,7,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05003362,Norbury,7,Other ethnic group,9,L15: Full-time students,0
E05011462,Addiscombe East,-8,Does not apply,-8,Does not apply,0
E05011462,Addiscombe East,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05011462,Addiscombe East,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05011462,Addiscombe East,-8,Does not apply,3,L7: Intermediate occupations,0
E05011462,Addiscombe East,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E05011462,Addiscombe East,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E05011462,Addiscombe East,-8,Does not apply,6,L12: Semi-routine occupations,0
E05011462,Addiscombe East,-8,Does not apply,7,L13: Routine occupations,0
E05011462,Addiscombe East,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05011462,Addiscombe East,-8,Does not apply,9,L15: Full-time students,0
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,321
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",297
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",292
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,156
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,123
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,33
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,115
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,61
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,128
E05011462,Addiscombe East,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,112
E05011462,Addiscombe East,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,460
E05011462,Addiscombe East,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",223
E05011462,Addiscombe East,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",424
E05011462,Addiscombe East,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,213
