original_11;recoded_11
borough_year;borough_year
borough;borough
year;year
CDU_ID;CDU_ID
GEO_CODE;GEO_CODE
GEO_LABEL;GEO_LABEL
GEO_TYPE;GEO_TYPE
GEO_TYP2;GEO_TYP2
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_ewsnib_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_ewsnib_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;white_ewsnib_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;white_ewsnib_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;white_ewsnib_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;white_ewsnib_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : White\ English/Welsh/Scottish/Northern Irish/British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;white_ewsnib_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_irish_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_irish_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;white_irish_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;white_irish_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;white_irish_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;white_irish_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Irish - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;white_irish_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_gypsy_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_gypsy_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;white_gypsy_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;white_gypsy_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;white_gypsy_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;white_gypsy_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Gypsy or Irish Traveller - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;white_gypsy_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ Other White - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_other_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : White\ Other White - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";white_other_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Other White - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;white_other_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : White\ Other White - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;white_other_sc4
