recoded;Ethnic group (20 categories);National Statistics Socio-economic Classification (NS-SeC) (12 categories)
notapply_notapply_notapply;Does not apply;Does not apply
notapply_notapply_sc1;Does not apply;L1 and L2: Large employers and higher managerial and administrative occupations
notapply_notapply_sc1;Does not apply;L3: Higher professional occupations
notapply_notapply_sc2;Does not apply;L4, L5 and L6: Lower managerial, administrative and professional occupations
notapply_notapply_sc3;Does not apply;L7: Intermediate occupations
notapply_notapply_sc4;Does not apply;L8 and L9: Small employers and own account workers
notapply_notapply_sc5;Does not apply;L10 and L11: Lower supervisory and technical occupations
notapply_notapply_sc6;Does not apply;L12: Semi-routine occupations
notapply_notapply_sc7;Does not apply;L13: Routine occupations
notapply_notapply_neverworked;Does not apply;L14.1: Never worked
notapply_notapply_longunemployed;Does not apply;L14.2: Long-term unemployed
notapply_notapply_students;Does not apply;L15: Full-time students
asian_bangladeshi_notapply;Asian, Asian British or Asian Welsh: Bangladeshi;Does not apply
asian_bangladeshi_sc1;Asian, Asian British or Asian Welsh: Bangladeshi;L1 and L2: Large employers and higher managerial and administrative occupations
asian_bangladeshi_sc1;Asian, Asian British or Asian Welsh: Bangladeshi;L3: Higher professional occupations
asian_bangladeshi_sc2;Asian, Asian British or Asian Welsh: Bangladeshi;L4, L5 and L6: Lower managerial, administrative and professional occupations
asian_bangladeshi_sc3;Asian, Asian British or Asian Welsh: Bangladeshi;L7: Intermediate occupations
asian_bangladeshi_sc4;Asian, Asian British or Asian Welsh: Bangladeshi;L8 and L9: Small employers and own account workers
asian_bangladeshi_sc5;Asian, Asian British or Asian Welsh: Bangladeshi;L10 and L11: Lower supervisory and technical occupations
asian_bangladeshi_sc6;Asian, Asian British or Asian Welsh: Bangladeshi;L12: Semi-routine occupations
asian_bangladeshi_sc7;Asian, Asian British or Asian Welsh: Bangladeshi;L13: Routine occupations
asian_bangladeshi_neverworked;Asian, Asian British or Asian Welsh: Bangladeshi;L14.1: Never worked
asian_bangladeshi_longunemployed;Asian, Asian British or Asian Welsh: Bangladeshi;L14.2: Long-term unemployed
asian_bangladeshi_students;Asian, Asian British or Asian Welsh: Bangladeshi;L15: Full-time students
asian_chinese_notapply;Asian, Asian British or Asian Welsh: Chinese;Does not apply
asian_chinese_sc1;Asian, Asian British or Asian Welsh: Chinese;L1 and L2: Large employers and higher managerial and administrative occupations
asian_chinese_sc1;Asian, Asian British or Asian Welsh: Chinese;L3: Higher professional occupations
asian_chinese_sc2;Asian, Asian British or Asian Welsh: Chinese;L4, L5 and L6: Lower managerial, administrative and professional occupations
asian_chinese_sc3;Asian, Asian British or Asian Welsh: Chinese;L7: Intermediate occupations
asian_chinese_sc4;Asian, Asian British or Asian Welsh: Chinese;L8 and L9: Small employers and own account workers
asian_chinese_sc5;Asian, Asian British or Asian Welsh: Chinese;L10 and L11: Lower supervisory and technical occupations
asian_chinese_sc6;Asian, Asian British or Asian Welsh: Chinese;L12: Semi-routine occupations
asian_chinese_sc7;Asian, Asian British or Asian Welsh: Chinese;L13: Routine occupations
asian_chinese_neverworked;Asian, Asian British or Asian Welsh: Chinese;L14.1: Never worked
asian_chinese_longunemployed;Asian, Asian British or Asian Welsh: Chinese;L14.2: Long-term unemployed
asian_chinese_students;Asian, Asian British or Asian Welsh: Chinese;L15: Full-time students
asian_indian_notapply;Asian, Asian British or Asian Welsh: Indian;Does not apply
asian_indian_sc1;Asian, Asian British or Asian Welsh: Indian;L1 and L2: Large employers and higher managerial and administrative occupations
asian_indian_sc1;Asian, Asian British or Asian Welsh: Indian;L3: Higher professional occupations
asian_indian_sc2;Asian, Asian British or Asian Welsh: Indian;L4, L5 and L6: Lower managerial, administrative and professional occupations
asian_indian_sc3;Asian, Asian British or Asian Welsh: Indian;L7: Intermediate occupations
asian_indian_sc4;Asian, Asian British or Asian Welsh: Indian;L8 and L9: Small employers and own account workers
asian_indian_sc5;Asian, Asian British or Asian Welsh: Indian;L10 and L11: Lower supervisory and technical occupations
asian_indian_sc6;Asian, Asian British or Asian Welsh: Indian;L12: Semi-routine occupations
asian_indian_sc7;Asian, Asian British or Asian Welsh: Indian;L13: Routine occupations
asian_indian_neverworked;Asian, Asian British or Asian Welsh: Indian;L14.1: Never worked
asian_indian_longunemployed;Asian, Asian British or Asian Welsh: Indian;L14.2: Long-term unemployed
asian_indian_students;Asian, Asian British or Asian Welsh: Indian;L15: Full-time students
asian_pakistani_notapply;Asian, Asian British or Asian Welsh: Pakistani;Does not apply
asian_pakistani_sc1;Asian, Asian British or Asian Welsh: Pakistani;L1 and L2: Large employers and higher managerial and administrative occupations
asian_pakistani_sc1;Asian, Asian British or Asian Welsh: Pakistani;L3: Higher professional occupations
asian_pakistani_sc2;Asian, Asian British or Asian Welsh: Pakistani;L4, L5 and L6: Lower managerial, administrative and professional occupations
asian_pakistani_sc3;Asian, Asian British or Asian Welsh: Pakistani;L7: Intermediate occupations
asian_pakistani_sc4;Asian, Asian British or Asian Welsh: Pakistani;L8 and L9: Small employers and own account workers
asian_pakistani_sc5;Asian, Asian British or Asian Welsh: Pakistani;L10 and L11: Lower supervisory and technical occupations
asian_pakistani_sc6;Asian, Asian British or Asian Welsh: Pakistani;L12: Semi-routine occupations
asian_pakistani_sc7;Asian, Asian British or Asian Welsh: Pakistani;L13: Routine occupations
asian_pakistani_neverworked;Asian, Asian British or Asian Welsh: Pakistani;L14.1: Never worked
asian_pakistani_longunemployed;Asian, Asian British or Asian Welsh: Pakistani;L14.2: Long-term unemployed
asian_pakistani_students;Asian, Asian British or Asian Welsh: Pakistani;L15: Full-time students
asian_other_notapply;Asian, Asian British or Asian Welsh: Other Asian;Does not apply
asian_other_sc1;Asian, Asian British or Asian Welsh: Other Asian;L1 and L2: Large employers and higher managerial and administrative occupations
asian_other_sc1;Asian, Asian British or Asian Welsh: Other Asian;L3: Higher professional occupations
asian_other_sc2;Asian, Asian British or Asian Welsh: Other Asian;L4, L5 and L6: Lower managerial, administrative and professional occupations
asian_other_sc3;Asian, Asian British or Asian Welsh: Other Asian;L7: Intermediate occupations
asian_other_sc4;Asian, Asian British or Asian Welsh: Other Asian;L8 and L9: Small employers and own account workers
asian_other_sc5;Asian, Asian British or Asian Welsh: Other Asian;L10 and L11: Lower supervisory and technical occupations
asian_other_sc6;Asian, Asian British or Asian Welsh: Other Asian;L12: Semi-routine occupations
asian_other_sc7;Asian, Asian British or Asian Welsh: Other Asian;L13: Routine occupations
asian_other_neverworked;Asian, Asian British or Asian Welsh: Other Asian;L14.1: Never worked
asian_other_longunemployed;Asian, Asian British or Asian Welsh: Other Asian;L14.2: Long-term unemployed
asian_other_students;Asian, Asian British or Asian Welsh: Other Asian;L15: Full-time students
black_african_notapply;Black, Black British, Black Welsh, Caribbean or African: African;Does not apply
black_african_sc1;Black, Black British, Black Welsh, Caribbean or African: African;L1 and L2: Large employers and higher managerial and administrative occupations
black_african_sc1;Black, Black British, Black Welsh, Caribbean or African: African;L3: Higher professional occupations
black_african_sc2;Black, Black British, Black Welsh, Caribbean or African: African;L4, L5 and L6: Lower managerial, administrative and professional occupations
black_african_sc3;Black, Black British, Black Welsh, Caribbean or African: African;L7: Intermediate occupations
black_african_sc4;Black, Black British, Black Welsh, Caribbean or African: African;L8 and L9: Small employers and own account workers
black_african_sc5;Black, Black British, Black Welsh, Caribbean or African: African;L10 and L11: Lower supervisory and technical occupations
black_african_sc6;Black, Black British, Black Welsh, Caribbean or African: African;L12: Semi-routine occupations
black_african_sc7;Black, Black British, Black Welsh, Caribbean or African: African;L13: Routine occupations
black_african_neverworked;Black, Black British, Black Welsh, Caribbean or African: African;L14.1: Never worked
black_african_longunemployed;Black, Black British, Black Welsh, Caribbean or African: African;L14.2: Long-term unemployed
black_african_students;Black, Black British, Black Welsh, Caribbean or African: African;L15: Full-time students
black_carribean_notapply;Black, Black British, Black Welsh, Caribbean or African: Caribbean;Does not apply
black_carribean_sc1;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L1 and L2: Large employers and higher managerial and administrative occupations
black_carribean_sc1;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L3: Higher professional occupations
black_carribean_sc2;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L4, L5 and L6: Lower managerial, administrative and professional occupations
black_carribean_sc3;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L7: Intermediate occupations
black_carribean_sc4;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L8 and L9: Small employers and own account workers
black_carribean_sc5;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L10 and L11: Lower supervisory and technical occupations
black_carribean_sc6;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L12: Semi-routine occupations
black_carribean_sc7;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L13: Routine occupations
black_carribean_neverworked;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L14.1: Never worked
black_carribean_longunemployed;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L14.2: Long-term unemployed
black_carribean_students;Black, Black British, Black Welsh, Caribbean or African: Caribbean;L15: Full-time students
black_other_notapply;Black, Black British, Black Welsh, Caribbean or African: Other Black;Does not apply
black_other_sc1;Black, Black British, Black Welsh, Caribbean or African: Other Black;L1 and L2: Large employers and higher managerial and administrative occupations
black_other_sc1;Black, Black British, Black Welsh, Caribbean or African: Other Black;L3: Higher professional occupations
black_other_sc2;Black, Black British, Black Welsh, Caribbean or African: Other Black;L4, L5 and L6: Lower managerial, administrative and professional occupations
black_other_sc3;Black, Black British, Black Welsh, Caribbean or African: Other Black;L7: Intermediate occupations
black_other_sc4;Black, Black British, Black Welsh, Caribbean or African: Other Black;L8 and L9: Small employers and own account workers
black_other_sc5;Black, Black British, Black Welsh, Caribbean or African: Other Black;L10 and L11: Lower supervisory and technical occupations
black_other_sc6;Black, Black British, Black Welsh, Caribbean or African: Other Black;L12: Semi-routine occupations
black_other_sc7;Black, Black British, Black Welsh, Caribbean or African: Other Black;L13: Routine occupations
black_other_neverworked;Black, Black British, Black Welsh, Caribbean or African: Other Black;L14.1: Never worked
black_other_longunemployed;Black, Black British, Black Welsh, Caribbean or African: Other Black;L14.2: Long-term unemployed
black_other_students;Black, Black British, Black Welsh, Caribbean or African: Other Black;L15: Full-time students
mixed_whiteasian_notapply;Mixed or Multiple ethnic groups: White and Asian;Does not apply
mixed_whiteasian_sc1;Mixed or Multiple ethnic groups: White and Asian;L1 and L2: Large employers and higher managerial and administrative occupations
mixed_whiteasian_sc1;Mixed or Multiple ethnic groups: White and Asian;L3: Higher professional occupations
mixed_whiteasian_sc2;Mixed or Multiple ethnic groups: White and Asian;L4, L5 and L6: Lower managerial, administrative and professional occupations
mixed_whiteasian_sc3;Mixed or Multiple ethnic groups: White and Asian;L7: Intermediate occupations
mixed_whiteasian_sc4;Mixed or Multiple ethnic groups: White and Asian;L8 and L9: Small employers and own account workers
mixed_whiteasian_sc5;Mixed or Multiple ethnic groups: White and Asian;L10 and L11: Lower supervisory and technical occupations
mixed_whiteasian_sc6;Mixed or Multiple ethnic groups: White and Asian;L12: Semi-routine occupations
mixed_whiteasian_sc7;Mixed or Multiple ethnic groups: White and Asian;L13: Routine occupations
mixed_whiteasian_neverworked;Mixed or Multiple ethnic groups: White and Asian;L14.1: Never worked
mixed_whiteasian_longunemployed;Mixed or Multiple ethnic groups: White and Asian;L14.2: Long-term unemployed
mixed_whiteasian_students;Mixed or Multiple ethnic groups: White and Asian;L15: Full-time students
mixed_whiteblackafrican_notapply;Mixed or Multiple ethnic groups: White and Black African;Does not apply
mixed_whiteblafrican_sc1;Mixed or Multiple ethnic groups: White and Black African;L1 and L2: Large employers and higher managerial and administrative occupations
mixed_whiteblafrican_sc1;Mixed or Multiple ethnic groups: White and Black African;L3: Higher professional occupations
mixed_whiteblafrican_sc2;Mixed or Multiple ethnic groups: White and Black African;L4, L5 and L6: Lower managerial, administrative and professional occupations
mixed_whiteblafrican_sc3;Mixed or Multiple ethnic groups: White and Black African;L7: Intermediate occupations
