"ID","ses","ethnic","district_id","frac_homos","frac_homoe"
"wl8277",1,1,"Brent 034A",0.353881278538813,0.484018264840183
"am19752",2,3,"Brent 020E",0.344859813084112,0.624299065420561
"al3905",1,3,"Brent 011D",0.266398929049531,0.243641231593039
"bm8620",2,2,"Brent 019E",0.315789473684211,0.191673212882954
"am20237",2,3,"Brent 022D",0.339176829268293,0.171493902439024
"ah5018",3,3,"Brent 003B",0.368681863230922,0.584737363726462
"wm2833",2,1,"Brent 023A",0.263011152416357,0.803903345724907
"ah6049",3,3,"Brent 031F",0.37648927720413,0.158856235107228
"wl14933",1,1,"Brent 021F",0.460927152317881,0.39205298013245
"ah18748",3,3,"Brent 005E",0.246840775063184,0.456613310867734
"bm2404",2,2,"Brent 031A",0.374255952380952,0.326636904761905
"wl19474",1,1,"Brent 022E",0.300436681222707,0.622707423580786
"wh15180",3,1,"Brent 034D",0.234718826405868,0.328850855745721
"al1148",1,3,"Brent 026B",0.476669716376944,0.751143641354071
"wm27381",2,1,"Brent 009E",0.407494145199063,0.565573770491803
"wl14388",1,1,"Brent 027D",0.354642313546423,0.287671232876712
"wh30538",3,1,"Brent 017F",0.48578811369509,0.363049095607235
"wl13280",1,1,"Brent 032E",0.198026315789474,0.721052631578947
"wl18827",1,1,"Brent 024B",0.381378692927484,0.557743957027753
"am10635",2,3,"Brent 007A",0.37199124726477,0.522975929978118
"wm27749",2,1,"Brent 014E",0.424849699398798,0.472945891783567
"wh6216",3,1,"Brent 018C",0.361724500525762,0.564668769716088
"wh29394",3,1,"Brent 024C",0.290960451977401,0.580979284369115
"ah12855",3,3,"Brent 032A",0.45,0.109090909090909
"al2805",1,3,"Brent 009D",0.355263157894737,0.302631578947368
"am2503",2,3,"Brent 006C",0.387730061349693,0.47239263803681
"wl5332",1,1,"Brent 005B",0.308779011099899,0.451059535822402
"wl19717",1,1,"Brent 031G",0.392914653784219,0.570048309178744
"am5048",2,3,"Brent 003A",0.413483146067416,0.403370786516854
"wm31710",2,1,"Brent 010F",0.396201702685003,0.33464309102816
"am4068",2,3,"Brent 018B",0.372421281216069,0.310532030401737
"ah2656",3,3,"Brent 006E",0.411172161172161,0.484432234432234
"wh6134",3,1,"Brent 018C",0.361724500525762,0.564668769716088
"al7503",1,3,"Brent 015A",0.325503355704698,0.245805369127517
"wh21812",3,1,"Brent 030E",0.553191489361702,0.764944275582573
"wl2308",1,1,"Brent 023B",0.1743388834476,0.722820763956905
"bh8636",3,2,"Brent 022E",0.372052401746725,0.135371179039301
"wl14931",1,1,"Brent 021F",0.460927152317881,0.39205298013245
"wh9326",3,1,"Brent 033A",0.450244698205546,0.635399673735726
"wl2283",1,1,"Brent 023B",0.1743388834476,0.722820763956905
"al490",1,3,"Brent 029B",0.482320942883046,0.797824116047144
"wh20960",3,1,"Brent 032B",0.55960516324981,0.85041761579347
"wl19694",1,1,"Brent 017F",0.229974160206718,0.363049095607235
"wm9175",2,1,"Brent 025B",0.351084812623274,0.40138067061144
"ah4835",3,3,"Brent 002C",0.275449101796407,0.401197604790419
"am9572",2,3,"Brent 008C",0.379346680716544,0.521601685985248
"am4510",2,3,"Brent 014C",0.443287037037037,0.280092592592593
"am12796",2,3,"Brent 001C",0.390286209887251,0.465741543798786
"wm32007",2,1,"Brent 031H",0.361336032388664,0.481781376518219
"wm15257",2,1,"Brent 015B",0.374181478016838,0.724976613657624
"wm18358",2,1,"Brent 012A",0.371681415929204,0.314159292035398
"wm8235",2,1,"Brent 002C",0.454091816367265,0.523952095808383
"al6586",1,3,"Brent 004B",0.118908382066277,0.556530214424951
"bl955",1,2,"Brent 030B",0.177215189873418,0.113019891500904
"wh25559",3,1,"Brent 027A",0.23943661971831,0.391549295774648
"wl19506",1,1,"Brent 022E",0.300436681222707,0.622707423580786
"wh14287",3,1,"Brent 028E",0.592846270928463,0.802891933028919
"bl7997",1,2,"Brent 016C",0.329310344827586,0.147413793103448
"wm27766",2,1,"Brent 014E",0.424849699398798,0.472945891783567
"al8956",1,3,"Brent 007A",0.206783369803063,0.522975929978118
"wl19782",1,1,"Brent 031G",0.392914653784219,0.570048309178744
"wm20621",2,1,"Brent 030E",0.281661600810537,0.764944275582573
"wm15256",2,1,"Brent 015B",0.374181478016838,0.724976613657624
"ah117",3,3,"Brent 026A",0.221398305084746,0.569915254237288
"al8704",1,3,"Brent 012A",0.347345132743363,0.514380530973451
"bl2172",1,2,"Brent 025B",0.398422090729783,0.370808678500986
"al5522",1,3,"Brent 025B",0.398422090729783,0.227810650887574
"bm8092",2,2,"Brent 005D",0.455426356589147,0.121124031007752
"al14612",1,3,"Brent 020B",0.384615384615385,0.574488802336904
"al17184",1,3,"Brent 019D",0.447480785653288,0.812980358667805
"bh6285",3,2,"Brent 021C",0.207988980716253,0.454545454545455
"wl2825",1,1,"Brent 011B",0.316747572815534,0.532766990291262
"wm22099",2,1,"Brent 001A",0.464912280701754,0.338206627680312
"ah3810",3,3,"Brent 018B",0.378935939196526,0.310532030401737
"wm30009",2,1,"Brent 024C",0.389830508474576,0.580979284369115
"am21485",2,3,"Brent 031H",0.361336032388664,0.198380566801619
"ah4597",3,3,"Brent 002B",0.329885057471264,0.37816091954023
"bh5458",3,2,"Brent 033F",0.486533449174631,0.170286707211121
"am21277",2,3,"Brent 010F",0.396201702685003,0.507531106745252
"wh28078",3,1,"Brent 026E",0.246268656716418,0.208126036484245
"wm7041",2,1,"Brent 014D",0.388023952095808,0.572455089820359
"ah3020",3,3,"Brent 030B",0.504520795660036,0.16998191681736
"ah1102",3,3,"Brent 029D",0.204819277108434,0.717871485943775
"wm1200",2,1,"Brent 006A",0.379008746355685,0.459669582118562
"wh14536",3,1,"Brent 028E",0.592846270928463,0.802891933028919
"wm20741",2,1,"Brent 032C",0.274688796680498,0.843153526970954
"ah11079",3,3,"Brent 012A",0.280973451327434,0.514380530973451
"al483",1,3,"Brent 029B",0.482320942883046,0.797824116047144
"am18159",2,3,"Brent 026E",0.344941956882255,0.583747927031509
"bm8874",2,2,"Brent 024A",0.37594696969697,0.149621212121212
"wm25971",2,1,"Brent 017D",0.350931677018634,0.325051759834369
"bh1694",3,2,"Brent 014C",0.252314814814815,0.163194444444444
"wh413",3,1,"Brent 009A",0.373051224944321,0.463251670378619
"wl16053",1,1,"Brent 017C",0.378787878787879,0.298295454545455
"ah7796",3,3,"Brent 003E",0.398936170212766,0.65531914893617
"wh30571",3,1,"Brent 017F",0.48578811369509,0.363049095607235
"al16501",1,3,"Brent 029E",0.427872860635697,0.838630806845966
"wl20036",1,1,"Brent 003G",0.235229155162893,0.349530646051905
"bl10749",1,2,"Brent 031H",0.350202429149798,0.319838056680162
"ah3542",3,3,"Brent 011B",0.275485436893204,0.317961165048544
"wh6601",3,1,"Brent 014D",0.312574850299401,0.572455089820359
"ah17315",3,3,"Brent 020A",0.283720930232558,0.486511627906977
"wm9998",2,1,"Brent 031C",0.377268385864374,0.528175740210124
"wm3826",2,1,"Brent 023B",0.292850146914789,0.722820763956905
"ah7416",3,3,"Brent 004E",0.382702702702703,0.607567567567568
"bh258",3,2,"Brent 029D",0.204819277108434,0.0933734939759036
"wm3747",2,1,"Brent 023B",0.292850146914789,0.722820763956905
"bh1004",3,2,"Brent 023B",0.53281096963761,0.0940254652301665
"wm6833",2,1,"Brent 014C",0.443287037037037,0.556712962962963
"wm18790",2,1,"Brent 007B",0.40453074433657,0.425026968716289
"wh19392",3,1,"Brent 008E",0.449449449449449,0.352352352352352
"ah5751",3,3,"Brent 025F",0.236413043478261,0.14945652173913
"wh2286",3,1,"Brent 023A",0.611524163568773,0.803903345724907
"ah19584",3,3,"Brent 019D",0.251067463706234,0.812980358667805
"ah14275",3,3,"Brent 003F",0.304459691252144,0.668953687821612
"bh1022",3,2,"Brent 023B",0.53281096963761,0.0940254652301665
"wm1757",2,1,"Brent 006B",0.36986301369863,0.400304414003044
"wh7826",3,1,"Brent 005B",0.289606458123108,0.451059535822402
"wm17959",2,1,"Brent 016A",0.375446960667461,0.454112038140644
"wm27471",2,1,"Brent 010E",0.393243243243243,0.458108108108108
"wh25449",3,1,"Brent 001E",0.346029173419773,0.3354943273906
"wm1077",2,1,"Brent 006A",0.379008746355685,0.459669582118562
"wm2288",2,1,"Brent 006E",0.392857142857143,0.419413919413919
