CDU_ID;GEO_CODE;GEO_LABEL;GEO_TYPE;GEO_TYP2;"Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons;"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons;"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons
CDU_ID;GEO_CODE;GEO_LABEL;GEO_TYPE;GEO_TYP2;w_1;w_2;w_3;w_4;w_5;w_6;w_7;a_1;a_2;a_3;a_4;a_5;a_6;a_7;b_1;b_2;b_3;b_4;b_5;b_6;b_7
19728;E01000471;Brent 026A;Lower Super Output Areas and Data Zones;LSOADZ;11;37;28;75;25;43;65;41;80;69;38;49;135;126;8;32;23;7;8;29;15
19729;E01000472;Brent 029A;Lower Super Output Areas and Data Zones;LSOADZ;37;70;37;88;26;47;58;45;107;72;34;40;87;43;9;15;11;3;11;14;9
19730;E01000473;Brent 029B;Lower Super Output Areas and Data Zones;LSOADZ;10;19;22;16;17;30;27;66;126;88;79;80;241;200;3;16;11;10;8;23;11
19731;E01000474;Brent 026B;Lower Super Output Areas and Data Zones;LSOADZ;10;23;20;20;10;28;40;46;90;109;85;78;231;182;8;31;26;8;8;22;18
19732;E01000475;Brent 029C;Lower Super Output Areas and Data Zones;LSOADZ;15;42;36;74;34;52;56;66;128;112;59;60;176;115;11;29;28;9;8;35;19
19733;E01000476;Brent 026C;Lower Super Output Areas and Data Zones;LSOADZ;2;37;29;45;17;27;37;52;103;78;79;63;170;140;10;21;21;10;19;23;22
19734;E01000477;Brent 026D;Lower Super Output Areas and Data Zones;LSOADZ;20;46;43;75;29;51;63;36;82;64;73;58;146;116;14;42;26;11;9;31;32
19735;E01000478;Brent 029D;Lower Super Output Areas and Data Zones;LSOADZ;7;24;13;48;16;44;36;45;103;88;78;68;186;147;5;20;19;5;9;17;18
19736;E01000479;Brent 009A;Lower Super Output Areas and Data Zones;LSOADZ;45;91;68;111;18;46;37;75;91;68;97;20;46;24;11;22;6;7;1;5;9
19737;E01000480;Brent 006A;Lower Super Output Areas and Data Zones;LSOADZ;79;130;53;114;22;31;44;113;113;74;81;16;49;7;19;24;12;13;5;17;13
19738;E01000481;Brent 009B;Lower Super Output Areas and Data Zones;LSOADZ;29;56;40;75;22;56;57;87;92;35;46;22;52;24;13;40;26;13;13;32;18
19739;E01000482;Brent 009C;Lower Super Output Areas and Data Zones;LSOADZ;44;90;58;96;30;73;82;98;98;70;52;27;107;40;26;100;83;25;43;102;57
19740;E01000483;Brent 009D;Lower Super Output Areas and Data Zones;LSOADZ;22;46;44;85;38;37;47;26;44;51;19;16;57;40;20;65;30;15;18;72;44
19741;E01000484;Brent 006B;Lower Super Output Areas and Data Zones;LSOADZ;18;37;43;68;12;43;42;28;49;33;19;6;41;23;15;51;39;12;11;39;28
19742;E01000485;Brent 006C;Lower Super Output Areas and Data Zones;LSOADZ;25;44;49;84;21;59;43;65;97;64;47;18;64;30;11;20;13;13;7;26;15
19743;E01000486;Brent 006D;Lower Super Output Areas and Data Zones;LSOADZ;44;131;61;106;29;42;31;103;102;70;77;17;59;23;4;13;9;6;4;6;3
19744;E01000487;Brent 006E;Lower Super Output Areas and Data Zones;LSOADZ;51;97;66;128;21;54;41;121;145;73;64;34;66;26;12;23;24;12;7;15;12
19745;E01000488;Brent 022A;Lower Super Output Areas and Data Zones;LSOADZ;50;177;52;90;42;57;50;31;47;25;35;11;21;29;15;30;13;6;4;14;21
19746;E01000489;Brent 030A;Lower Super Output Areas and Data Zones;LSOADZ;118;187;70;97;44;66;60;26;43;15;15;7;27;12;16;22;22;10;7;17;15
