CDU_ID;GEO_CODE;GEO_LABEL;GEO_TYPE;GEO_TYP2;"Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons;"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons;"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons
CDU_ID;GEO_CODE;GEO_LABEL;GEO_TYPE;GEO_TYP2;w_1;w_2;w_3;w_4;w_5;w_6;w_7;a_1;a_2;a_3;a_4;a_5;a_6;a_7;b_1;b_2;b_3;b_4;b_5;b_6;b_7
10027;E02000093;Brent 001;Middle Super Output Areas and Intermediate Zones;MSOAIZ;140;457;329;676;150;303;253;574;840;674;532;206;589;417;52;142;97;37;42;115;51
10028;E02000094;Brent 002;Middle Super Output Areas and Intermediate Zones;MSOAIZ;176;424;323;687;166;324;266;256;418;330;304;144;320;208;64;158;91;53;38;96;52
10029;E02000095;Brent 003;Middle Super Output Areas and Intermediate Zones;MSOAIZ;168;393;291;560;117;270;215;561;743;590;456;228;514;317;34;102;65;34;24;86;48
10030;E02000096;Brent 004;Middle Super Output Areas and Intermediate Zones;MSOAIZ;313;508;351;407;75;176;93;766;720;504;349;108;312;134;36;46;40;19;11;24;11
10031;E02000097;Brent 005;Middle Super Output Areas and Intermediate Zones;MSOAIZ;164;453;345;618;198;346;296;269;428;369;327;151;374;261;49;153;95;59;47;107;71
10032;E02000098;Brent 006;Middle Super Output Areas and Intermediate Zones;MSOAIZ;217;439;272;500;105;229;201;430;506;314;288;91;279;109;61;131;97;56;34;103;71
10033;E02000099;Brent 007;Middle Super Output Areas and Intermediate Zones;MSOAIZ;130;419;274;573;129;218;210;497;612;415;255;118;339;161;48;158;101;39;38;109;70
10034;E02000100;Brent 008;Middle Super Output Areas and Intermediate Zones;MSOAIZ;236;479;286;340;94;179;134;656;953;500;360;101;284;127;37;152;65;44;21;57;28
10035;E02000101;Brent 009;Middle Super Output Areas and Intermediate Zones;MSOAIZ;190;390;273;486;144;265;278;325;376;260;255;99;309;157;83;257;170;69;80;228;143
10036;E02000102;Brent 010;Middle Super Output Areas and Intermediate Zones;MSOAIZ;96;247;194;474;161;261;318;109;245;210;219;115;291;259;60;183;148;65;65;162;125
10037;E02000103;Brent 011;Middle Super Output Areas and Intermediate Zones;MSOAIZ;241;572;349;573;197;403;387;105;190;140;218;83;197;116;67;169;150;71;49;175;105
10038;E02000104;Brent 012;Middle Super Output Areas and Intermediate Zones;MSOAIZ;164;360;216;359;103;195;188;306;408;320;280;111;316;166;45;104;86;47;26;81;56
10039;E02000105;Brent 013;Middle Super Output Areas and Intermediate Zones;MSOAIZ;135;327;236;423;118;202;227;368;603;446;298;168;622;292;86;182;106;52;49;140;66
10040;E02000106;Brent 014;Middle Super Output Areas and Intermediate Zones;MSOAIZ;184;488;299;738;245;370;446;146;252;220;264;114;314;269;106;229;169;104;84;216;141
10041;E02000107;Brent 015;Middle Super Output Areas and Intermediate Zones;MSOAIZ;605;1263;514;759;285;493;452;151;253;142;163;101;243;201;54;164;115;67;45;127;87
10042;E02000108;Brent 016;Middle Super Output Areas and Intermediate Zones;MSOAIZ;89;288;183;269;99;186;192;220;439;298;203;148;407;267;45;130;98;42;50;100;72
10043;E02000109;Brent 017;Middle Super Output Areas and Intermediate Zones;MSOAIZ;148;313;199;360;158;271;324;475;575;399;272;178;490;360;96;286;217;108;100;239;176
10044;E02000110;Brent 018;Middle Super Output Areas and Intermediate Zones;MSOAIZ;421;1083;425;520;209;334;333;177;261;169;160;69;150;102;62;162;94;46;44;105;65
10045;E02000111;Brent 019;Middle Super Output Areas and Intermediate Zones;MSOAIZ;86;220;156;233;97;220;170;393;692;509;366;332;978;564;51;161;129;54;50;134;82
10046;E02000112;Brent 020;Middle Super Output Areas and Intermediate Zones;MSOAIZ;82;231;158;357;105;242;294;312;519;417;281;220;752;527;66;229;153;79;95;216;167
